furniture-10030001,马卡洛夫-南瓜熊熊
furniture-20007107,基础版本的积木套装。虽说看起来普普通通，但带来的快乐却不会减半，只要拥有足够的想象力，也能用平凡的积木做出不平凡的事来。
furniture-10007108,拼装世界-自选材料墙
furniture-20007108,在这里只提供积木零件，没有图纸，没有限制。人们都渴望着让生活中的限制越来越少，但站在这堵墙面前时才会发现，他们至少需要一个路标。
furniture-10007109,拼装世界-积木吊架
furniture-20007109,可以用来搬运一些货物，或是沉迷拼积木的人形。但这个吊架本就是沉迷拼积木的人形拼装出来的，被自己的造物捕获并搬运，这亦是一种轮回。
furniture-10007110,拼装世界-蝎甲兽展示台
furniture-20007110,本店引以为傲的完成品，但大多数客人喜欢叫它强无敌。试图评论其装甲厚度的人形被同伴捂住了嘴巴——既然身处玩具的世界，就告别那些硝烟吧。
furniture-10007111,拼装世界-积木收银台
furniture-20007111,得到快乐的同时，钱包也会受伤。这个世界就是这么不公平，有失不一定有得，但有得必定有失。好在身处此地，一定能够确保你能得到快乐。
furniture-10007112,拼装世界-新品展示柜
furniture-20007112,本季主推产品在此展示。购买新产品时，也顺便买一套基础套装吧！在遇到新朋友时，也不要忘记老朋友噢。
furniture-10007113,拼装世界-新品宣传牌
furniture-20007113,新产品的宣传牌，每一季都会更换。再好的积木都只能陪伴你一时，不能陪伴你一世。但它们不会介意，只要你别忘记拼装时的那份快乐。
furniture-10002040,海滩巡逻车
furniture-20002040,配备有齐全救生装置的巡逻车。它的存在能让人更加安心地享受大海。
furniture-10002041,海滩救生椅
furniture-20002041,只要坐在上面就能拥有开阔的视野。但只有铭记自身责任的人，才有坐在上面的资格。
furniture-10002042,搜救巴哥犬
furniture-20002042,穿戴全套救生装备的伙伴，和救生员们一起守护海滩的和平。在每天下班后，不要忘记给它应得的奖励哦！
furniture-10040068,墙纸
furniture-20040068,墙纸
furniture-10040069,地板
furniture-20040069,地板
furniture-10040070,墙饰
furniture-20040070,墙饰
furniture-10040071,玻璃隔断
furniture-20040071,玻璃隔断
furniture-10040072,出入口+地毯
furniture-20040072,出入口+地毯
furniture-10040073,灯+地饰
furniture-20040073,灯+地饰
furniture-10040074,显示屏
furniture-20040074,显示屏
furniture-10040076,拣货机器(墙)
furniture-20040076,拣货机器(墙)
furniture-10040077,拣货机器(地)
furniture-20040077,拣货机器(地)
furniture-10040078,商店
furniture-20040078,商店
furniture-10040079,无人机出入口
furniture-20040079,无人机出入口
furniture-10048010,控制台LV0
furniture-20048010,控制台LV0
furniture-10048011,控制台LV1
furniture-20048011,控制台LV1
furniture-10048012,控制台LV2
furniture-20048012,控制台LV2
furniture-10048013,控制台LV3
furniture-20048013,控制台LV3
furniture-10048031,大柜子LV1
furniture-20048031,大柜子LV1
furniture-10048032,大柜子LV2
furniture-20048032,大柜子LV2
furniture-10048033,大柜子LV3
furniture-20048033,大柜子LV3
furniture-10050001,自由女神像废墟
furniture-20050001,自由女神像废墟
furniture-10050002,蓝色电话亭
furniture-20050002,蓝色电话亭
furniture-10050003,金色大便
furniture-20050003,金色大便
furniture-10050004,陈旧火箭
furniture-20050004,陈旧火箭
furniture-10050005,警车
furniture-20050005,警车
furniture-10050006,神奇摩托
furniture-20050006,神奇摩托
furniture-10050007,地铁废墟入口
furniture-20050007,地铁废墟入口
furniture-10050008,传送门废墟
furniture-20050008,传送门废墟
furniture-10050009,同伴方块
furniture-20050009,同伴方块
furniture-10007201,跳舞机
furniture-20007201,尽管蝎甲兽有一颗热爱跳舞的心，但它不会下来与你共享机器。因为评委正需要这样居高临下的目光。
furniture-10007202,拳击机
furniture-20007202,不要轻易生气，更不要把怒火倾泻在机械上。那只会让你知道，你的愤怒不过如此——这位小姐，别打了，饶命！我给你99分！
furniture-10007301,水族馆-地板
furniture-20007301,有着高清白沙印花的亚克力地板，也许你能在地板表面泛起的虚假波光中找到一丝在海岛度假的感觉。
furniture-10007302,水族馆-浅海壁纸
furniture-20007302,在浅海冒险的时候，可以把节奏放慢，多在沉船附近找找闪光点，说不定收集满五十个宝藏的奖杯，只差这一个光点，就能从屏幕左上角跳出来了。
furniture-10007303,水族馆-玻璃观景通道
furniture-20007303,心上人马上要驾驶机甲前往天狼星，你想要带对方看海豚表白，走过观景通道的时候，你看着那个人的侧脸，突然有点后悔。“如果你不会走，或者世界在这一秒爆炸就好了，我就不会再失去你了。”
furniture-10007304,水族馆-翻车鱼
furniture-20007304,比起真相，人们更愿意相信猎奇的谣言。翻车鱼不会因为附近的小伙伴死亡而打击过大死亡，别搞笑了，冷血动物怎么会在乎其他鱼的生死呢？
furniture-10007305,水族馆-蝠鲼
furniture-20007305,虽然魔鬼鱼长得很凶，也不会用鼻孔和嘴巴展现一张笑脸，但比起鳐鱼，它才是更温柔的——毕竟它连毒都没有。
furniture-10007306,水族馆-海龟
furniture-20007306,如果你要穿越洋流，乘坐海龟会是不二之选，不过请事先服用晕船药，或者提前关闭自己的前庭器官，在海洋中吐出来可不是什么酷体验。
furniture-10007307,水族馆-鲸鲨
furniture-20007307,鲸鲨用庞大的身躯庇护着小鱼群，缓缓游动的样子，也许就是海洋最温柔的一面了吧，只可惜温柔的东西总会被破坏，即使是海中的神祇也无法幸免于难。
furniture-10007308,水族馆-锯鳐
furniture-20007308,“当你抱着锯鳐，你就可以成为海洋电锯手。”“听起来没有海洋贝斯手酷。”“可贝斯声你能听得到？”“好，我要成为海洋电锯手。”
furniture-10007309,水族馆-粉红珊瑚
furniture-20007309,海洋生物是幸运的，它们不需要向定居的海域连续缴纳五年贡品，也不需要集结鱼群的力量等待新房子上线，就能轻松拥有漂亮的居所，甚至还是粉色的。
furniture-10007310,水族馆-金色珊瑚
furniture-20007310,如果在海底看到金灿灿的东西，请不要条件反射以为是海盗的财宝然后直冲过去，小心打扰了在黄金珊瑚后面约会的人鱼情侣。
furniture-10007311,水族馆-铁笼
furniture-20007311,人类太孤独了，为了聚集所有仿真模型的目光，在水族馆里也要放一个将自己装进去的铁笼，即便如此，人类仍会为落在自己身上的关注不够多而感到不满。
furniture-10007312,水族馆-咸鱼
furniture-20007312,咸鱼受够了对于人生的粗暴概括和对成功的定义总结，或许有职业成功学、婚姻成功学、教育成功学，但这些拼凑在一起依旧不是人生。能够不充满恐惧地聚众躺在海底休息，并不应该是一件被嘲笑的事情。
furniture-10007313,水族馆-小鱼群
furniture-20007313,对于世界的观测者来说，总有一些人只是背景板而已，但对于另外一些人而言，他们微小的名字，是值得去跨越整个大洋的咒语。
furniture-10007314,水族馆-鳐鱼
furniture-20007314,它已经很努力地在用鼻孔和嘴巴为你展现一张笑脸了，你还有什么理由不开心呢？
furniture-10002043,倒悬命运
furniture-20002043,在无人知晓的隐秘之地中取材的雕塑，鉴赏家无从得知雕塑的作者姓甚名谁。树木怪异的生长姿态使得评论席噤声，但制造商仍从中嗅到商机，作为装饰植物的仿品大量流入民间。
furniture-10002044,拟生树海
furniture-20002044,以幻觉碎片为蓝本的打印壁画。失忆的主人公无法回忆起这张照片拍摄于何时何地，只是被某人托付了遗物才一直收着，也许有空应该拜托路过的仿生部队成员调查一下。
furniture-10002045,须臾静夜
furniture-20002045,以幻觉碎片为蓝本的打印壁画。成片的昙花在同一瞬盛开，这场面几近完美，却过于虚幻，哪怕作为梦境，也只能留存片刻。
furniture-10002046,幻影地板
furniture-20002046,从昙花中取样了纹理制成的地板，破碎的花瓣比圆满的怒放更具诱惑性。在这个破坏已成习惯的时代，也许没人会再在意完整的美好。
furniture-10002047,辐射昙花
furniture-20002047,从无人知晓的隐秘之地带回的纪念品，花瓣上染着对于现世而言过于强烈的辐射，被神秘研究所放置于隔离箱中，姑且实现了富人期待的昙花不败之景。
furniture-10002048,列车炮展柜
furniture-20002048,古籍中的武器总是冠以日月星辰的名号，时光流转千年之后，想要将星球轰碎的战争机器们仍然被以星座命名，也许人类真正想要的，不过是千星俱毁也说不定。
furniture-10003115,“正在载入”地台
furniture-20003115,当你看见这个标识时，这往往意味着新世界的大门正在向你敞开。万一它卡住了怎么办？那就再推一次吧！只要你拥有坚定的意念，就没有什么能阻碍你前进的脚步。
furniture-10007401,百鬼夜行-诡异·暗绿地板
furniture-20007401,仿草的墨绿色大理石地板，如果你发现地板中的黑色纹路诡异地扭动了一下，可千万别吓得叫出声！
furniture-10007402,百鬼夜行-秘境·夜半深林
furniture-20007402,和平常一样的深夜，隐藏在密林中的神社却突然热闹了起来。有好奇的人跑上山来，绕着神社仔细搜寻了一番，却连一个人影都没找到。
furniture-10007403,百鬼夜行-发抖·稻荷雕像
furniture-20007403,平日威风奕奕守护着神庙的的稻荷神使者，却在今夜这样热闹的时刻格外地沉默。
furniture-10007404,百鬼夜行-妖艳·彼岸路灯
furniture-20007404,昏暗暧昧的路灯，兀自摇曳的曼珠沙华，在这看似寂静实则喧嚣的夜晚，仿佛是在悄悄指给你前往百鬼盛会的路。
furniture-10007405,百鬼夜行-欢乐·百鬼队列
furniture-20007405,兴冲冲赶往集会的灯笼鬼和他的伙伴们，要是敢阻挡他们的路，恐怕会被追杀十圈。当然，要是你想加入他们的队列，也一定会感受到热烈的欢迎。
furniture-10007406,百鬼夜行-公用·揭示板
furniture-20007406,不知道是谁，悄悄地把揭示板上的公告改成了今夜百鬼夜行的活动内容。不过，天亮之后就会恢复到之前的样子吧。
furniture-10007407,百鬼夜行-百鬼·鸟居入口
furniture-20007407,栖于笠木之上的巨大骷髅正在认真核对通过鸟居的灵魂，不主动出示百鬼盛会邀请帖的客人都将被拎出来扔掉。看来今晚的鸟居不再是通往神域的入口了。
furniture-10007408,百鬼夜行-凄惨·无可奈河
furniture-20007408,一座小桥，两行清泪，三人成行，无人知晓他们的故事，甚至很快就会忘却他们的身影。桥下平静的河水映不出他们的模样，只有河底的硬币记得他们今夜的眼泪。
furniture-10007409,百鬼夜行-达摩·稻荷神龛
furniture-20007409,被载歌载舞的百鬼们吓跑的达摩来到了狐狸庇护的神龛边藏匿起来。尚未承载愿望的达摩在草中探头探脑，像是怕被讨厌的家伙捉走许愿。而已经接纳愿望的达摩，则眼巴巴地等着实现愿望的人们来为它画上右眼。
furniture-10007410,百鬼夜行-空空·无名神龛
furniture-20007410,供奉着不知名神灵的神龛。赶去参加百鬼盛会的幽魂匆匆路过，像是察觉到了神龛前放置供奉之物的地方已经空空如也很久了似的，露出了嘲讽的笑。
furniture-10007411,百鬼夜行-无人问津·手水舍
furniture-20007411,用来洗濯尘世污秽的清水，今夜却无人问津，只好独自静静流淌。
furniture-10007412,百鬼夜行-百鬼禁忌·寺庙
furniture-20007412,被百鬼盛会组织方评为SSS级危险的禁忌之地。因为寺中之人高深的法力，加上开光法物的加持，哪怕是喝得再烂醉如泥的恶鬼途经此地，都会立刻清醒过来。
furniture-10007413,百鬼夜行-拦路·红色小鬼
furniture-20007413,手持狼牙棒站在百鬼盛会入口收取过路费的小鬼，看上去十分威风凛凛，不过听说往小鬼身上撒豆的话会有意想不到的效果。
furniture-10007501,不良天台-“永恒的夕照”
furniture-20007501,顶点的风景永远不会变，和你一起看的夕阳当然也是。所以不必留恋，去吧！像乌鸦一样展翅高飞！
furniture-10007502,不良天台-普通地板
furniture-20007502,没有特别花纹也没有涂鸦的地板，干干净净。期望落空了吗？这也是一种超出期待的方式。
furniture-10007503,不良天台-堕落沙发
furniture-20007503,有时候放弃并不是坏事，正是放弃了某些东西你才能活得轻松。跟从自己的心，躺在上面、做个美梦吧。
furniture-10007504,不良天台-极恶非道
furniture-20007504,来吧，加入我们！更新世界的锋芒，武装自己的心，为新的假期而战！
furniture-10007505,不良天台-决斗武器
furniture-20007505,这里有各种各样的武器。它们看起来像垃圾吗？能支撑我们战胜逆境的，往往就是不需要刻意争取的东西。
furniture-10007506,不良天台-快乐水
furniture-20007506,拧开盖子的快乐水是无法回归原样的，人生也是。相信自己的选择，在高热量的路上走下去吧。
furniture-10007507,不良天台-神秘垃圾
furniture-20007507,即使是这样默默无闻地在角落里存在着的东西，也迟早会发现自己存在的意义。发现不了的时候，他们就会发明一个。
furniture-10007508,不良天台-饲养小屋
furniture-20007508,“比起被关在笼子里的兵蚁，我们要好太多了，不是吗？做一个普通的战术人形也不错吧，至少有快乐水和G36做的冰淇淋。”
furniture-10007509,不良天台-布告天台
furniture-20007509,和需要漂亮和冲击力的招募版相比，这里是更好的展示舞台。展现自己的个性吧，用口号、涂鸦和横幅，以及一切你想得到的东西！
furniture-10007510,不良天台-破损围栏
furniture-20007510,“拧断围栏被发现、不得不在这里整修的事，我一个人来背负就足够了。喂，听到了吗？乌鸦们，给我下去！”
furniture-10007511,不良天台-骑士长桌（伪）
furniture-20007511,虽然是一条临时拼凑的长桌，但它能让你找到朋友和想做的事。为了那些事和朋友在这里消磨时间吧，直到真正的梦想翩然到来。
furniture-10007512,不良天台-制霸椅
furniture-20007512,能站在最高点的人必然能看穿一切，当然也能看出是谁打翻了那瓶让人摔跤的番茄酱。
furniture-10007513,不良天台-种植圃
furniture-20007513,我们总该留下一片干净的土地，用来种植专属胜者的花和梦境。
furniture-10007514,不良天台-最强椅
furniture-20007514,空气，水，街边的折叠椅……随处可见的东西才是最强的武器。
furniture-10051501,定制橘喵救生员
furniture-20051501,新型号的橘喵救生员，携带精良装备前来报道！可在汪洋大海中，这只柔弱小猫咪又能救得了谁呢？它连自己都救不了。
furniture-10051502,美人鱼立牌
furniture-20051502,为了缓解没有见到美人鱼的失落，指挥官特地为人形们定制了美人鱼的立牌，不过脸大的人形还是不要太用力钻进去比较好……
furniture-10007203,创月记拓印·盈
furniture-20007203,“在孤峰顶端发现的遗迹拓印，记载着神话时代曾在孤峰与巨大兽战斗的英雄的事迹。拓印戳记为圆形，目前还不知其具体含义。”
furniture-10007204,创月记拓印·蛾眉
furniture-20007204,“在旧瞭望塔附近发现的遗迹拓印，记载着古代帝国科技的衰落史。拓印戳记为指向西南的三角，目前还不知其具体含义。”
furniture-10007205,创月记拓印·上弦
furniture-20007205,“在迷踪森林地区发现的遗迹拓印，记载着遗失的圣剑与神秘树妖的相关情报。拓印戳记为指向西北的三角，目前还不知其具体含义。”
furniture-10007206,创月记拓印·亏眉
furniture-20007206,“在水底宫殿发现的遗迹拓印，记载着讲述守护着水底星辰的幻想物种的诗篇。拓印戳记为指向东南的三角，目前还不知其具体含义。”
furniture-10007207,创月记拓印·下弦
furniture-20007207,“在废墟都市外围的露营地发现的遗迹拓印，记载着传说中王国沦陷之时，救国的双刀使者最后的行踪。拓印戳记为指向东北的三角，目前还不知其具体含义。”
furniture-10007208,创月记拓印·朔
furniture-20007208,“在猎魔人协会总部发现的遗迹拓印，记载着因执念而成为魔物，最终被心上人讨伐的女性猎魔人的悲剧。拓印戳记为正方形，目前还不知其具体含义。”
furniture-10002049,甜美治疗椅
furniture-20002049,躺上来吧，甜美治疗椅会带给你天堂般的享受。别在迷宫里乱跑了，也不要让护士小姐姐们成群结队追逐你的背影，那样太不绅士。
furniture-10002050,温柔邂逅梦
furniture-20002050,没人知道这台电视是由谁带来、何时出现在这里的。也许它只是你的一个错觉，一场美梦，就像你坚信自己会看到，从电视机里爬出来的女孩子的绝美脸庞一样。
furniture-10002051,亡灵乐手狗
furniture-20002051,总有些故事会一直传颂下去，不管夜夜讲述这些故事的是白发的吟游诗人，还是带着兜帽的流浪乐手——哪怕它只是一只骷髅哈巴狗，也请安静地听完这些乐章。
furniture-10007601,1408惊魂夜-黑鸦地板
furniture-20007601,“这栋公寓的地板都是黑暗压抑的颜色，总感觉缝隙中还有些褐色的残迹……”
furniture-10007602,1408惊魂夜-表里世界
furniture-20007602,“从我踏上楼梯的那刻开始，一切都变了，但一切都没变，就好像穿梭在完美映照彼此的表里世界……”
furniture-10007603,1408惊魂夜-叙忆沙发
furniture-20007603,“精致的洋娃娃整晚都在向我讲述和前任主人的故事，每每提及动情之处，前主人的画框还会留下血来……”
furniture-10007604,1408惊魂夜-禁忌电梯
furniture-20007604,“一部停止使用多年的电梯，却在今夜被一些奇怪的手扒开了缝隙。还好这些手不会拉我进qnfyuqaxoup”
furniture-10007605,1408惊魂夜-超载电梯
furniture-20007605,“等了这部电梯许久，都一直显示超载。按捺不住的我透过门缝查看，里面却只有一片红色……”
furniture-10007606,1408惊魂夜-摇摆吊灯
furniture-20007606,“明明没有风，却总是摇摆不停的吊灯，但愿不会砸到我的头上……”
furniture-10007607,1408惊魂夜-遥控童车
furniture-20007607,“一直跑来跑去的童车，遥控它的主人一定是个活泼可爱的孩子，等等，它并没有装电池……”
furniture-10007608,1408惊魂夜-夜宵厨师
furniture-20007608,“刚过零点，这位热情的厨师就一直追着我要给我做饭，可是我真的不饿……”
furniture-10007609,1408惊魂夜-捉迷藏桌
furniture-20007609,“嘿，桌下藏着的小朋友，是你在我的手稿后面打了几十页‘只工作不玩耍，聪明的孩子也变傻’吗？”
furniture-10007610,1408惊魂夜-黄昏之约
furniture-20007610,“我点的外卖终于到了！奇怪，怎么是从窗户进来的？这里好像是14楼……”
furniture-10007611,1408惊魂夜-面具维修工
furniture-20007611,“他们自称是来维修电梯的，但言行鬼祟举止怪异，我正准备打电话核实身份，却发现电话线已经被……”
furniture-10007612,1408惊魂夜-小丑游乐椅
furniture-20007612,“好不容易找出了些糖果，原本在椅子边上等我的小朋友却不见了，只剩一只孤零零的气球……”
furniture-10007613,1408惊魂夜-汩血叹息墙
furniture-20007613,“虽然墙上挂满了美少女的画像，但是那幽怨的哭声和汩汩流出的鲜血还是让我不敢靠近……”
furniture-10007614,1408惊魂夜-楼梯保洁员
furniture-20007614,“为了清洁楼梯，她不惜用身体作为抹布一阶一阶爬下来，这栋公寓的服务真是令人惊艳呀……”
furniture-10051601,“来玩游戏吗？”
furniture-20051601,“……姐姐？不用怕，我能做得到的事情真的很多，除了保护你，我还能……嘻嘻，一起来玩游戏吧？
furniture-10051602,太空绅士狗
furniture-20051602,“我，跳舞巨星，打钱。”“格琳娜？！你新买的狗语翻译器居然真的有用！……不是，你快来看看这狗语翻译器说了什么可怕的话！”
furniture-10003116,“我赚了！”宝箱
furniture-20003116,只有在特殊的日子，才会出现在你眼前的巨大宝箱。//n里面装着什么呢？有人打开了，是愿望，是梦想！他这样回答……然而另一位旁观者却在斥责他的举动实属浪费。//n外人真是麻烦，唯独只会看破当局者本质。
furniture-10003117,只属于孤独者的帐篷
furniture-20003117,当你接触群体，独自面对他人，是否感到自我已被囚禁在名为“孤独”的监狱之中？//n那就暂时来到这小小的帐篷里，好好想想自我为何物，然后走出去吧——广阔无际的世界正等着你。
furniture-10007701,巅峰时刻-菱形地板
furniture-20007701,“仿佛不受空间和时间的限制，重叠交错的菱形方框，唤起了我作为车神的荣耀。”//n“那是你的错觉，快把豆腐送完。”
furniture-10007702,巅峰时刻-砖块墙贴
furniture-20007702,看起来复古又充满情调，你应该想不到这是为了遮盖破洞而贴上的。
furniture-10007703,巅峰时刻-现役冠军
furniture-20007703,它再次回来了，这一次它将对手远远甩到身后，是的……只有超越过去的失败，才能迎来真正的“巅峰时刻”。
furniture-10007704,巅峰时刻-迈氏终极
furniture-20007704,只要乘上它，就能够让你和同乘者心潮澎湃。//n因为那疾风怒涛般的声浪，正诉说着它的传奇历史。
furniture-10007705,巅峰时刻-迷你酷哥
furniture-20007705,某个著名演员曾经驾驶过它，他所表演的人物也融入了一代人的生活中。//n今天有收看他的节目吗？那是能让你暂时逃离这个时代的唯一办法。
furniture-10007706,巅峰时刻-商用吊灯
furniture-20007706,为了让珍藏品光彩动人，优秀的光源是必要的，至于高昂的电费……那就只开一盏灯吧。
furniture-10007707,巅峰时刻-悬浮式楼梯
furniture-20007707,“美观和实用性有时会呈反比。”//n正在排队上楼的人形们这样说道。
furniture-10007708,巅峰时刻-名牌摩托展示架
furniture-20007708,它们在等待你，只等待你一个人。//n只有你才能完美地驾驭它们……而不是那些没有驾照的人形们。
furniture-10007709,巅峰时刻-“专业竞赛”系列头盔
furniture-20007709,专业往往是靠非常多的热爱加一点点野心成就的。//n怎么样？试试戴着它们上赛场吧，让所有观众看到你的爱跟野心……和赞助商的商标。
furniture-10007710,巅峰时刻-回忆照片墙
furniture-20007710,人形们看着自己的“巅峰时刻”，常常能回忆起那段快乐的时光。//n所以她们才能耐得住寂寞，才能在战场上寄托希望。
furniture-10007711,巅峰时刻-高档茶几
furniture-20007711,使用高档材料打造的茶几，可以在上面放些爱看的杂志，随时坐下来享受……谁把椅子拿走了？
furniture-10007712,巅峰时刻-墙挂式置物架
furniture-20007712,为了将杂物和资料分类而制作的置物架，可分类之后……上个月的报销单，被放在哪里了呢？
furniture-10007713,巅峰时刻-塔林风景画
furniture-20007713,也许你会忘记那场战役，但你肯定忘不了那些人形的命运。
furniture-10002052,圣诞驯蚁
furniture-20002052,看，是圣诞老人和他的驯鹿！奇怪，后面怎么有个老爷爷和鹿在追？
furniture-10002053,圣诞梦中树
furniture-20002053,希望每个孩子都能从树上找到自己想要的礼物。
furniture-10002054,圣诞牧礼犬
furniture-20002054,汪汪汪！快开门！有你的快递！
furniture-10007801,铁血平安夜-雪花地板
furniture-20007801,温度变化对雪花纹样的大理石来说不过是暂时的事情，而真正的冰雪却会因此消融。“这就是你站在我上面怀念雪地的原因？”
furniture-10007802,铁血平安夜-寂静森林
furniture-20007802,人形能够从自然中感受到美的时候，一定也能感觉到孤独。“请你学一学那颗星星，不要惊醒松树们的美梦。”
furniture-10007803,铁血平安夜-不咆哮的驯鹿
furniture-20007803,这只咆哮者已经被废弃了，但它并不失落。“我还能成为一道盾牌，保护打扮我的孩子们。”
furniture-10007804,铁血平安夜-冰钓椅子
furniture-20007804,无论是人形还是兵蚁都不必亲手钓鱼，但他们仍旧乐于进行这项活动。兵蚁觉得自己见过的那个格里芬恶魔一定会说：“我要证明残害生命不仅仅是碳基生物的特权。”
furniture-10007805,铁血平安夜-模拟冰洞
furniture-20007805,当地面上出现一个看起来可供探索的入口时，总会有人想要一探究竟——即使这里面空无一物。“不要钻了，这是树脂模拟的水面！你们听不懂浮冰话吗？”
furniture-10007806,铁血平安夜-兵蚁的杰作
furniture-20007806,人类堆雪人，兵蚁堆雪蚁，有智能的存在总喜欢做些和自己相似的东西来排遣孤独。“人类写的故事里讲过，只要我给它足够的爱，它就会陪我玩了！”
furniture-10007807,铁血平安夜-红灯栏杆
furniture-20007807,虽然不知道人类为什么要用什么也挡不住的栏杆做警示，铁血工造的人形们也还是沿用了这个传统，让它继续尽责。“我知道我守护的东西已经无关紧要了，但这不是我擅离职守的借口。”
furniture-10007808,铁血平安夜-积雪的列车炮
furniture-20007808,没有战争发生的时候，兵器也失去了自己的意义。不过它看起来很开心：“天气太冷了，让我在这里多休息一下吧。”
furniture-10007809,铁血平安夜-变形的铁丝网
furniture-20007809,铁丝网总是坚强地站在那里，尽管它拦不住真正危险的敌人。“只要我发出的响声能警示大家，这就够了。”
furniture-10007810,铁血平安夜-运输中的圣诞树
furniture-20007810,在被砍下的那一刻，就知道自己的生命所剩无几了。于是它拜托兵蚁：“树终有一死，能麻烦你们在用完我后把我送回森林吗？我还想看看明年的雪景呢。”
furniture-10007811,铁血平安夜-雪夜松树
furniture-20007811,松树们请来一颗星星坐在树顶，希望迷路的人形可以被指引回家。“嘘，不要告诉那颗星星我们醒着，这样自信的它很漂亮。”
furniture-10007812,铁血平安夜-还原杂物堆
furniture-20007812,普通的杂物堆，在没有下雪的时候会兼任垃圾桶的作用。但是为什么建筑师会笑得这么开心呢？“哈哈，你们看，人类寄给干扰者的情书也被复制过来了耶！”
furniture-10007813,铁血平安夜-被点亮的栅栏
furniture-20007813,总有不戴夜视仪的破坏者撞坏栅栏，松树认为只要装上灯就可以避免悲剧发生了。至于亮光，它并不在意。“总要有谁清醒着，去守护同伴的美梦。”
furniture-10007901,不夜街市-坚实地砖
furniture-20007901,对人类脚部的迷恋使他十年如一日地维持着平躺的姿势，但偶尔他也会被温差所伤，忍不住站起来一会儿。
furniture-10007902,不夜街市-夜幕巫女
furniture-20007902,她至今也没有搞懂，为什么穿上黑夜与霓虹后，人们便不再称呼她为白昼女神了。
furniture-10007903,不夜街市-镜影川
furniture-20007903,船舶是她的发饰，河流是她的面容。被灯光装点的她是如此美丽，以至于令所有没有夜景拍摄功能的相机无地自容。
furniture-10007904,不夜街市-秩序掌控者
furniture-20007904,“我调整来到这里的人类数量，以保证我深爱的孩子们不会感受到过度的压力。”它总是这么说。
furniture-10007905,不夜街市-章鱼烧之母
furniture-20007905,无论是伴随烫伤疼痛的分娩还是注定迎来的离别，都不能使她培养新章鱼烧时感受到的喜悦失色半分。
furniture-10007906,不夜街市-幸福大厦
furniture-20007906,你需要的一切都能向她索取，不必担心回绝。她会回应你的一切愿望，只要你付钱。
furniture-10007907,不夜街市-文化滋养斋
furniture-20007907,事实证明灯光总会吸引人们聚集在一起，无论灯上画的是幸福糖果还是行为艺术的上司。
furniture-10007908,不夜街市-万变高楼
furniture-20007908,花样繁多的招牌不能代表美丽，但却能指引你向变美的道路进发。想知道为什么吗？光顾IOP的化妆品公司吧！
furniture-10007909,不夜街市-初始台地
furniture-20007909,有时候脑袋发光也不是坏事，你将铭刻在广告牌上，指引茫然的后辈们前行。
furniture-10007910,不夜街市-指引之光
furniture-20007910,每一盏害怕黑暗的路灯，都会努力地燃烧自己与夜晚抗争。
furniture-10007911,不夜街市-拉面之父
furniture-20007911,“无论多么漫长的旅行都终会结束，你们要做的，就是让自己的结束更有价值！”他这么教育他手下的每一碗拉面。
furniture-10007912,不夜街市-暂留地长椅
furniture-20007912,他热情地邀请过往的所有事物在他身上停留，无论是人还是灰尘，亦或者天降的雨水。
furniture-10007913,不夜街市-时间记录者
furniture-20007913,它从不受外界的影响，只是自顾自地记录着时间的流逝。“是吗？”电池冷笑着问。
furniture-10007914,不夜街市-不万能许愿机
furniture-20007914,她相信所有付出都会得到回报，除非自己的存货被清空。
furniture-10008001,瑞叶苑-黑砖地板
furniture-20008001,走上这里的人能听到石块间轻微的敲击声，就像雪与石的絮语——虽然它只是热胀冷缩的结果。
furniture-10008002,瑞叶苑-映雪楼
furniture-20008002,在房间里看到的雪总是最美的，你享受着它的纯净无瑕，又不必承受寒冷。人类也是如此。
furniture-10008003,瑞叶苑-长寿松柏
furniture-20008003,它认为如今的树长得高，是年轻人的营养变好了。
furniture-10008004,瑞叶苑-饮月塘
furniture-20008004,水心如镜面，千里无纤毫。你可以在这里做一切你认为风雅的事情，只要不怕冷。
furniture-10008005,瑞叶苑-观景亭
furniture-20008005,“这个建筑物好像妖精无人机的投影台……”人形们这么说着，还是争先恐后地站在里面拍照留念。
furniture-10008006,瑞叶苑-新雪小芽
furniture-20008006,石头们小心地围成圈，想要替新芽挡住突如其来的风雪。不过，孩子们常常比它们想的要坚强。
furniture-10008007,瑞叶苑-汉白玉椅
furniture-20008007,它端正地站在地面上，假装肚子上没有淘气小孩留下的涂鸦。
furniture-10008008,瑞叶苑-琼花铁树
furniture-20008008,树觉得头上有点冷，但这不妨碍它相信春天只是迟到了那么一点儿。
furniture-10008009,瑞叶苑-聆步廊
furniture-20008009,你可以悄悄地走上来，欣赏那些以为没有人看就肆无忌惮成长的植物。就像你的班主任对你做过的那样。
furniture-10008010,瑞叶苑-长物志石椅
furniture-20008010,如果不去求证，人永远无法分清风雅与附庸风雅，就像你不去翻这本书就不会知道它只是套了古书外壳的漫画。
furniture-10008011,瑞叶苑-残局石桌
furniture-20008011,QBU88，我知道你是好意，但是不要把我和指挥官下到一半的棋局整理回原样可以吗？——XM8
furniture-10008012,瑞叶苑-滴沥怪石
furniture-20008012,水滴石穿，功到自成。人类指着石头这么教育幼崽，即使这石头只是钢筋水泥做出来的造景。
furniture-10008013,瑞叶苑-新月门
furniture-20008013,虽然穿过它也不会看到什么新的风景，但也许有人会在来回穿梭的过程里获得快乐，这便是装饰门的意义。
furniture-10007209,HK416的逆袭
